,matchdate,teamId,playerId,firstName,lastName,position,fullPosition
0,2015-12-12,127,3512,Adam,Smith,D,Right Full Back
1,2015-12-12,127,2338,Andrew,Surman,M,Centre Central Midfielder
2,2015-12-12,127,8045,Steve,Cook,D,Left/Centre/Right Central Defender
3,2015-12-12,127,8050,Harry,Arter,M,Centre Central Midfielder
4,2015-12-12,127,3766,Junior,Stanislas,M,Left/Right Winger
5,2015-12-12,127,3926,Joshua,King,F,Centre/Right Second Striker
6,2015-12-12,127,3934,Matt,Ritchie,M,Left/Right Winger
7,2015-12-12,127,8044,Simon,Francis,D,Centre/Right Central Defender
8,2015-12-12,127,3390,Dan,Gosling,M,Centre/Right Central Midfielder
9,2015-12-12,127,3242,Charlie,Daniels,D,Left Full Back
10,2015-12-12,127,4601,Artur,Boruc,G,Goalkeeper
11,2015-12-12,12,7120,Memphis,Depay,F,Left/Right Winger
12,2015-12-12,12,4330,David,de Gea,G,Goalkeeper
13,2015-12-12,12,3604,Marouane,Fellaini,M,Centre Attacking Midfielder
14,2015-12-12,12,11272,Anthony,Martial,F,Left/Centre Second Striker
15,2015-12-12,12,4809,Guillermo,Varela,D,Right Full Back
16,2015-12-12,12,4287,Juan,Mata,M,Left/Centre/Right Attacking Midfielder
17,2015-12-12,12,10473,Patrick,McNair,D,Centre Central Defender
18,2015-12-12,12,4337,Jesse,Lingard,M,Left/Centre/Right Attacking Midfielder
19,2015-12-12,12,4888,Daley,Blind,D,Left/Centre Central Defender
20,2015-12-12,12,13560,Cameron,Borthwick-Jackson,D,Left Central Defender
21,2015-12-12,12,1634,Michael,Carrick,M,Centre Central Midfielder
22,2015-12-07,7,4115,Ross,Barkley,M,Left/Centre/Right Attacking Midfielder
23,2015-12-07,7,4701,Arouna,Koné,F,Centre Striker
24,2015-12-07,7,4505,John,Stones,D,Right Full Back
25,2015-12-07,7,3448,Tom,Cleverley,M,Centre Central Midfielder
26,2015-12-07,7,4290,Romelu,Lukaku,F,Centre Striker
27,2015-12-07,7,13387,Ramiro,Funes Mori,D,Centre Central Defender
28,2015-12-07,7,2516,Tim,Howard,G,Goalkeeper
29,2015-12-07,7,9163,Brendan,Galloway,D,Left/Centre Full Back
30,2015-12-07,7,3600,Séamus,Coleman,D,Right Full Back
31,2015-12-07,7,4777,Gerard,Deulofeu,F,Left/Centre/Right Second Striker
32,2015-12-07,7,1308,Gareth,Barry,M,Centre Central Midfielder
33,2015-12-07,6,3807,Scott,Dann,D,Centre Central Defender
34,2015-12-07,6,4766,Mile,Jedinak,M,Centre Central Midfielder
35,2015-12-07,6,4763,Yannick,Bolasie,M,Left/Right Winger
36,2015-12-07,6,3929,Joel,Ward,D,Right Full Back
37,2015-12-07,6,4396,Connor,Wickham,F,Centre Striker
38,2015-12-07,6,10444,Pape,Souaré,D,Left Full Back
39,2015-12-07,6,1911,Damien,Delaney,D,Centre Central Defender
40,2015-12-07,6,2569,Wayne,Hennessey,G,Goalkeeper
41,2015-12-07,6,4084,Jason David Ian,Puncheon,M,Left/Centre/Right Attacking Midfielder
42,2015-12-07,6,4341,Yohan,Cabaye,M,Centre Central Midfielder
43,2015-12-07,6,4224,James,McArthur,M,Centre Central Midfielder
44,2015-12-06,23,7114,Georginio,Wijnaldum,M,Centre Attacking Midfielder
45,2015-12-06,23,10480,Daryl,Janmaat,D,Right Full Back
46,2015-12-06,23,4549,Moussa,Sissoko,M,Left/Centre/Right Attacking Midfielder
47,2015-12-06,23,4550,Vurnon,Anita,M,Left/Centre/Right Defensive Midfielder
