,matchdate,teamId,playerId,firstName,lastName,position,fullPosition
0,2015-12-19,36,1943,Darren,Fletcher,M,Centre Central Midfielder
1,2015-12-19,36,3156,Jonny,Evans,D,Centre Central Defender
2,2015-12-19,36,6030,Salomón,Rondón,F,Centre Striker
3,2015-12-19,36,4395,James,McClean,M,Left Winger
4,2015-12-19,36,3744,Chris,Brunt,M,Left Attacking Midfielder
5,2015-12-19,36,4198,Craig,Dawson,D,Centre Central Defender
6,2015-12-19,36,2529,James,Morrison,M,Right Winger
7,2015-12-19,36,2011,Boaz,Myhill,G,Goalkeeper
8,2015-12-19,36,3734,Jonas,Olsson,D,Centre Central Defender
9,2015-12-19,36,4437,Gareth,McAuley,D,Centre Central Defender
10,2015-12-19,36,2847,Craig,Gardner,M,Centre/Right Central Midfielder
11,2015-12-19,127,3766,Junior,Stanislas,M,Left/Right Winger
12,2015-12-19,127,3512,Adam,Smith,D,Right Full Back
13,2015-12-19,127,2338,Andrew,Surman,M,Centre Central Midfielder
14,2015-12-19,127,8045,Steve,Cook,D,Left/Centre/Right Central Defender
15,2015-12-19,127,8050,Harry,Arter,M,Centre Central Midfielder
16,2015-12-19,127,3934,Matt,Ritchie,M,Left/Right Winger
17,2015-12-19,127,8044,Simon,Francis,D,Centre/Right Central Defender
18,2015-12-19,127,3390,Dan,Gosling,M,Centre/Right Central Midfielder
19,2015-12-19,127,3242,Charlie,Daniels,D,Left Full Back
20,2015-12-19,127,4601,Artur,Boruc,G,Goalkeeper
21,2015-12-19,127,4772,Glenn,Murray,F,Centre Striker
22,2015-12-19,23,7114,Georginio,Wijnaldum,M,Centre Attacking Midfielder
23,2015-12-19,23,10480,Daryl,Janmaat,D,Right Full Back
24,2015-12-19,23,3713,Jack,Colback,M,Left/Centre Central Midfielder
25,2015-12-19,23,4885,Siem,de Jong,M,Left/Centre/Right Attacking Midfielder
26,2015-12-19,23,4549,Moussa,Sissoko,M,Left/Centre/Right Attacking Midfielder
27,2015-12-19,23,4346,Papiss Demba,Cissé,F,Centre Striker
28,2015-12-19,23,4550,Vurnon,Anita,M,Left/Centre/Right Defensive Midfielder
29,2015-12-19,23,2214,Robert,Elliot,G,Goalkeeper
30,2015-12-19,23,5850,Chancel,Mbemba,D,Centre/Right Central Defender
31,2015-12-19,23,4340,Paul,Dummett,D,Left Full Back
