id,matchdate,teamId,playerId,firstName,lastName,position,fullPosition
0,2021-05-12,4,4496,César,Azpilicueta,D,Left/Right Full Back
1,2021-05-12,4,5754,Thiago Emiliano,da Silva,D,Centre Central Defender
2,2021-05-12,4,14571,Reece,James,D,Right Full Back
3,2021-05-12,4,13491,Ben,Chilwell,D,Left Full Back
4,2021-05-12,4,5682,Jorge Luiz,Frello Filho,M,Centre Central Midfielder
5,2021-05-12,4,20810,Kai,Havertz,M,Left/Centre/Right Attacking Midfielder
6,2021-05-12,4,15559,Christian,Pulisic,M,Left/Centre/Right Attacking Midfielder
7,2021-05-12,4,5175,Kurt,Zouma,D,Centre Central Defender
8,2021-05-12,4,11373,Kepa,Arrizabalaga,G,Goalkeeper
9,2021-05-12,4,24221,Billy,Gilmour,M,Centre Attacking Midfielder
10,2021-05-12,4,14580,Mason,Mount,M,Centre Attacking Midfielder
11,2021-05-12,1,4985,Bernd,Leno,G,Goalkeeper
12,2021-05-12,1,11575,Rob,Holding,D,Centre Central Defender
13,2021-05-12,1,20097,Pablo,Marí,D,Centre Central Defender
14,2021-05-12,1,11419,Martin,Ødegaard,M,Left/Centre/Right Attacking Midfielder
15,2021-05-12,1,5239,Mohamed Naser,El Sayed Elneny,M,Centre Defensive Midfielder
16,2021-05-12,1,12185,Kieran,Tierney,D,Left Full Back
17,2021-05-12,1,50234,Gabriel,dos Santos Magalhães,D,Centre Central Defender
18,2021-05-12,1,49481,Bukayo,Saka,M,Left Winger
19,2021-05-12,1,14445,Emile,Smith Rowe,M,Midfielder
20,2021-05-12,1,4936,Thomas,Partey,M,Centre Defensive Midfielder
21,2021-05-12,1,5110,Pierre-Emerick,Aubameyang,F,Centre Striker
22,2021-05-11,12,13559,Axel,Tuanzebe,D,Centre Central Defender
23,2021-05-11,12,25266,Mason,Greenwood,F,Centre Striker
24,2021-05-11,12,4330,David,de Gea,G,Goalkeeper
25,2021-05-11,12,4287,Juan,Mata,M,Left/Centre/Right Attacking Midfielder
26,2021-05-11,12,69176,Amad,Diallo,F,Right Winger
27,2021-05-11,12,12937,Eric,Bailly,D,Centre Central Defender
28,2021-05-11,12,49259,Anthony,Elanga,F,Right Winger
29,2021-05-11,12,3861,Nemanja,Matic,M,Centre Central Midfielder
30,2021-05-11,12,23834,Brandon,Williams,D,Left Full Back
31,2021-05-11,12,5467,Alex Nicolao,Telles,D,Left Full Back
32,2021-05-11,12,11031,Donny,van de Beek,M,Centre Central Midfielder
33,2021-05-11,26,8979,Jamie,Vardy,F,Centre Striker
34,2021-05-11,26,13554,Kelechi,Iheanacho,F,Centre Striker
35,2021-05-11,26,20479,Wilfred,Ndidi,M,Centre Central Midfielder
36,2021-05-11,26,3564,Marc,Albrighton,M,Left/Right Winger
37,2021-05-11,26,10487,Ayoze,Pérez,F,Centre/Right Striker
38,2021-05-11,26,66284,Wesley,Fofana,D,Centre Central Defender
39,2021-05-11,26,26216,Çaglar,Söyüncü,D,Centre Central Defender
40,2021-05-11,26,2508,Kasper,Schmeichel,G,Goalkeeper
41,2021-05-11,26,5865,Youri,Tielemans,M,Centre Central Midfielder
42,2021-05-11,26,6712,Timothy,Castagne,D,Right Full Back
43,2021-05-11,26,23796,Luke,Thomas,D,Defender
44,2021-05-11,20,12322,Takumi,Minamino,F,Left/Centre/Right Winger
45,2021-05-11,20,3170,Fraser,Forster,G,Goalkeeper
46,2021-05-11,20,13815,Kyle,Walker-Peters,D,Right Full Back
47,2021-05-11,20,19589,Jan,Bednarek,D,Centre Central Defender
48,2021-05-11,20,12186,Stuart,Armstrong,M,Left Winger
49,2021-05-11,20,4617,James,Ward-Prowse,M,Centre Central Midfielder
50,2021-05-11,20,20109,Jannik,Vestergaard,D,Centre Central Defender
51,2021-05-11,20,8245,Danny,Ings,F,Centre Striker
52,2021-05-11,20,10905,Che,Adams,F,Centre Striker
53,2021-05-11,20,3811,Nathan,Redmond,M,Left/Right Winger
54,2021-05-11,20,4612,Jack,Stephens,D,Centre Central Defender
55,2021-05-11,6,5861,Cheikhou,Kouyaté,M,Centre Central Midfielder
56,2021-05-11,6,21584,Eberechi,Eze,M,Centre Attacking Midfielder
57,2021-05-11,6,3929,Joel,Ward,D,Right Full Back
58,2021-05-11,6,4878,Jairo,Riedewald,M,Centre Central Midfielder
59,2021-05-11,6,4539,Wilfried,Zaha,F,Left/Centre/Right Winger
60,2021-05-11,6,5595,Jordan,Ayew,F,Centre Striker
61,2021-05-11,6,24334,Tyrick,Mitchell,D,Left Full Back
62,2021-05-11,6,7548,Vicente,Guaita,G,Goalkeeper
63,2021-05-11,6,5859,Luka,Milivojevic,M,Centre Central Midfielder
64,2021-05-11,6,4492,Christian,Benteke,F,Centre Striker
65,2021-05-11,6,3807,Scott,Dann,D,Centre Central Defender
66,2021-05-10,34,13549,Tosin,Adarabioyo,D,Centre Central Defender
67,2021-05-10,34,5748,Alphonse,Areola,G,Goalkeeper
68,2021-05-10,34,26151,Joachim,Andersen,D,Centre Central Defender
69,2021-05-10,34,5079,Ivan,Cavaleiro,F,Left/Right Winger
70,2021-05-10,34,5879,Aleksandar,Mitrovic,F,Centre Striker
71,2021-05-10,34,32162,André-Frank,Zambo Anguissa,M,Centre Central Midfielder
