id,date,teamId,Team,PlayerID,name,firstName,lastName,age,OVA,POT,BOV,BP,GROWTH,ATTACHING,CROSSING,FINISHING,HEADING_ACCURACY,SHORT_PASSING,Volleys,TotalSkill,Dribbing,Curve,FkAccuracy,LONG_PASSING,BallControl,TotalMovement,Acceleration,SprintSpeed,Agility,Reactions,Balance,TotalPower,ShotPower,Jumping,Stamina,Strength,LongShots,TotalMentary,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,DEFENDING,Marking,StandingStackle,SlidingTackle,GOALKEEPING,GKDriving,GKHandling,GKKicking,GKPositioning,GKReflexes,TotalStats,BaseStats,AttackingWorkRate,DefensiveWorkRate,Pac,SHO,Pas,Dri,DEF,PHY
14,2017-07-01,25,"West Ham",3010," J. Collins",J.,Collins,32,76,76,75,CB,0,252,38,38,81,59,36,255,38,29,64,65,59,218,47,34,33,70,34,335,70,62,67,85,51,299,85,75,34,54,51,51,63,74,78,77,63,15,12,10,15,11,1651,340,Low,High,40,47,53,45,76,79
15,2017-07-01,25,"West Ham",8897," A. Cresswell",A.,Cresswell,26,76,77,76,LB,1,308,80,53,58,72,45,363,76,75,69,68,75,392,78,78,78,68,90,358,71,85,83,57,62,326,68,71,60,68,59,59,72,76,75,78,51,14,7,9,9,12,2027,425,High,Medium,78,59,72,76,73,67
16,2017-07-01,25,"West Ham",NULL," J. Calleri",J.,Calleri,22,76,82,75,ST,6,343,56,73,77,66,71,299,74,57,35,58,75,380,75,76,73,77,79,370,77,81,72,71,69,309,65,37,78,67,62,62,73,29,39,32,45,11,12,8,8,6,1846,395,High,Medium,76,73,61,75,39,71
17,2017-07-01,26,Leicester,20479," O. Ndidi",O.,Ndidi,19,76,86,76,CB,10,306,50,44,73,73,66,290,63,57,29,69,72,360,76,78,68,73,65,389,78,78,88,75,70,293,74,78,41,65,35,35,71,72,79,78,54,13,14,7,7,13,1921,418,High,High,77,57,63,67,76,78
18,2017-07-01,26,Leicester,NULL," A. Musa",A.,Musa,23,76,82,77,ST,6,348,67,78,64,64,75,314,78,60,48,52,76,439,95,92,88,79,85,367,78,80,91,45,73,269,33,24,77,66,69,69,72,20,28,24,61,7,12,13,15,14,1870,394,High,High,93,76,62,79,28,56
19,2017-07-01,NULL,Sunderland,NULL," J. Pickford",J.,Pickford,22,76,86,75,GK,10,99,17,19,15,28,20,102,14,18,16,33,21,257,48,41,33,68,67,197,31,59,44,50,13,172,23,24,18,66,41,41,27,14,20,12,386,74,76,85,73,78,1259,430,Medium,Medium,74,76,85,78,44,73
20,2017-07-01,NULL,Sunderland,NULL," L. Koné",L.,Koné,27,76,77,75,CB,1,261,60,34,78,60,29,225,46,39,28,50,62,291,55,66,51,71,48,308,55,63,71,90,29,286,81,75,54,45,31,31,64,71,78,69,56,6,12,15,10,13,1645,361,Medium,Medium,61,38,53,53,74,82
21,2017-07-01,NULL,Sunderland,NULL," A. Januzaj",A.,Januzaj,21,76,83,76,CAM,7,303,72,66,23,75,67,373,84,70,65,73,81,379,84,77,84,69,65,299,58,61,59,54,67,256,31,21,68,76,60,60,64,20,22,22,55,15,10,11,12,7,1729,371,Medium,Low,80,64,74,81,21,51
22,2017-07-01,NULL,Sunderland,NULL," F. Borini",F.,Borini,25,76,77,76,ST,1,371,70,76,75,75,75,340,77,65,61,62,75,375,79,77,78,77,64,354,76,71,75,66,66,328,70,30,78,69,81,81,74,13,26,24,43,11,6,8,12,6,1874,395,High,Medium,78,74,70,76,28,69
23,2017-07-01,NULL,Sunderland,NULL," Manquillo",Manquillo,Manquillo,22,76,82,76,RB,6,284,79,32,63,73,37,336,71,75,51,66,73,367,82,78,74,69,64,336,69,68,89,66,44,290,67,69,69,39,46,46,64,73,78,75,60,14,7,14,12,13,1899,406,High,Medium,80,45,65,71,73,72
24,2017-07-01,36,"West Brom",4437," G. McAuley",G.,McAuley,36,76,76,75,CB,0,260,49,50,85,53,23,216,27,39,33,51,66,226,50,34,34,75,33,293,44,73,67,79,30,301,79,76,45,52,49,49,65,77,81,69,52,6,11,12,10,13,1575,330,Low,High,41,43,50,42,78,76
25,2017-07-01,36,"West Brom",NULL," D. Fletcher",D.,Fletcher,32,76,76,79,CDM,0,362,72,65,83,82,60,331,65,65,47,79,75,309,55,53,62,80,59,366,77,70,76,70,73,351,80,84,57,68,62,62,83,79,81,78,52,10,16,7,10,9,2009,419,Medium,High,54,68,74,68,81,74
26,2017-07-01,36,"West Brom",4074," M. Phillips",M.,Phillips,25,76,77,74,RM,1,311,77,68,55,66,45,335,78,70,48,65,74,396,90,88,81,66,71,357,80,51,74,78,74,279,55,28,67,68,61,61,63,29,40,35,66,14,16,16,10,10,1848,409,Medium,Medium,89,70,68,76,35,71
27,2017-07-01,36,"West Brom",2529," J. Morrison",J.,Morrison,30,76,76,76,CAM,0,370,83,72,54,78,83,355,78,64,63,73,77,366,69,68,77,75,77,345,80,51,77,59,78,344,69,59,73,74,69,69,74,55,60,64,54,11,6,11,16,10,2013,419,Medium,Medium,68,75,76,77,58,65
28,2017-07-01,33,Watford,5668," M. Britos",M.,Britos,30,76,76,75,CB,0,236,43,37,74,60,22,268,47,47,52,64,58,278,54,55,49,66,54,284,30,83,61,79,31,257,76,75,24,31,51,51,66,77,80,77,57,12,13,11,10,11,1614,342,Medium,Medium,55,34,50,52,77,74
29,2017-07-01,33,Watford,19605," C. Kabasele",C.,Kabasele,25,76,78,75,CB,2,288,47,53,76,60,52,241,59,34,27,57,64,353,77,78,63,71,64,347,57,81,82,83,44,303,77,74,63,36,53,53,64,74,76,81,61,14,11,6,14,16,1824,398,Medium,High,78,52,49,62,76,81
30,2017-07-01,33,Watford,3508," Y. Kaboul",Y.,Kaboul,30,76,76,75,CB,0,259,56,21,81,67,34,246,52,44,37,54,59,288,52,70,53,66,47,368,82,78,69,83,56,314,84,74,51,51,54,54,66,72,77,74,45,9,14,7,9,6,1743,372,High,Medium,62,44,57,55,75,79
31,2017-07-01,43,Burnley,4487," M. Lowton",M.,Lowton,27,76,76,75,RB,0,342,75,52,69,71,75,321,71,68,46,63,73,368,79,76,69,76,68,373,72,77,83,73,68,323,76,74,60,64,49,49,74,73,74,74,43,11,6,6,13,7,1991,427,High,High,77,61,68,72,73,76
32,2017-07-01,43,Burnley,4158," R. Brady",R.,Brady,24,76,78,75,LM,2,332,80,66,53,71,62,384,75,81,78,75,75,392,85,82,77,73,75,373,75,75,80,69,74,322,51,62,70,74,65,65,73,62,68,71,47,12,8,13,7,7,2051,434,High,Medium,83,69,75,75,64,68
33,2017-07-01,43,Burnley,NULL," A. Gray",A.,Gray,25,76,79,75,ST,3,337,61,77,65,66,68,282,70,53,39,51,69,409,91,91,77,74,76,373,80,70,79,79,65,312,61,31,79,67,74,74,69,20,13,17,61,11,16,11,9,14,1824,397,High,Medium,91,75,61,71,24,75
34,2017-07-01,6,"Crystal Palace",5859," L. Milivojević",L.,Milivojević,25,76,80,75,CDM,4,306,60,54,74,76,42,348,63,62,75,76,72,318,62,65,60,71,60,377,75,65,89,76,72,352,85,74,64,69,60,60,70,75,72,68,56,13,9,16,6,12,1972,417,Medium,Medium,64,62,71,66,73,81
35,2017-07-01,6,"Crystal Palace",3517," J. Tomkins",J.,Tomkins,27,76,77,75,CB,1,243,45,29,78,63,28,232,50,33,31,60,58,288,55,56,51,73,53,294,40,74,75,76,29,285,73,74,45,50,43,43,69,77,79,80,48,11,8,6,9,14,1626,348,Medium,Medium,56,33,53,54,77,75
36,2017-07-01,42,Stoke,2148," G. Johnson",G.,Johnson,31,76,76,75,RWB,0,332,75,58,68,75,56,347,78,69,54,70,76,367,76,76,73,74,68,377,79,77,79,72,70,337,73,68,68,68,60,60,72,75,76,77,40,13,7,7,6,7,2028,436,High,Low,76,65,72,76,73,74
37,2017-07-01,42,Stoke,4636," G. Cameron",G.,Cameron,30,76,76,76,CB,0,316,60,54,73,73,56,325,69,60,60,66,70,337,68,69,76,71,53,355,65,77,79,75,59,352,77,78,62,72,63,63,80,77,81,77,53,7,16,6,10,14,1973,419,Medium,Medium,69,58,68,69,78,77
38,2017-07-01,42,Stoke,NULL," G. Whelan",G.,Whelan,32,76,76,75,CDM,0,331,71,63,64,74,59,351,64,70,75,70,72,295,32,50,69,78,66,359,70,68,79,77,65,354,82,80,61,66,65,65,74,74,76,71,66,10,13,16,16,11,1977,399,Medium,High,42,65,71,68,75,78
39,2017-07-01,42,Stoke,4205," S. Berahino",S.,Berahino,22,76,82,75,ST,6,328,51,80,67,62,68,332,76,63,61,55,77,381,85,80,74,71,71,337,81,62,64,62,68,286,47,33,79,54,73,73,72,20,18,23,57,7,11,14,10,15,1782,379,Medium,Medium,82,77,57,76,27,60
40,2017-07-01,42,Stoke,4081," C. Adam",C.,Adam,30,76,76,75,CM,0,381,82,74,69,81,75,384,72,79,76,81,76,299,55,46,59,73,66,370,85,62,65,77,81,385,88,56,77,81,83,83,74,58,61,57,36,8,7,9,6,6,2031,416,Medium,Low,50,78,81,72,60,75
41,2017-07-01,42,Stoke,NULL," Marc Muniesa",Marc,Muniesa,24,76,82,75,CB,6,283,67,42,70,72,32,298,63,66,40,56,73,320,54,68,62,70,66,308,46,83,74,68,37,328,78,78,61,61,50,50,74,74,78,77,67,14,12,16,15,10,1833,384,Medium,Medium,62,43,65,66,76,72
42,2017-07-01,127,Bournemouth,4601," A. Boruc",A.,Boruc,36,76,76,75,GK,0,72,12,11,11,25,13,98,14,13,19,34,18,228,37,39,40,72,40,209,21,73,31,69,15,141,38,25,17,40,21,21,65,13,20,20,365,75,72,62,74,82,1166,403,Medium,Medium,75,72,62,82,38,74
43,2017-07-01,127,Bournemouth,8454," C. Wilson",C.,Wilson,24,76,81,75,ST,5,328,52,79,62,70,65,315,73,62,45,60,75,413,93,90,81,70,79,357,69,66,77,81,64,336,73,40,77,71,75,75,78,20,39,25,49,10,15,8,10,6,1882,414,High,Medium,91,73,63,75,34,78
44,2017-07-01,NULL,"Hull City",NULL," L. Marković",L.,Marković,22,76,81,77,CAM,5,329,67,65,58,71,68,364,84,79,62,57,82,426,91,92,88,73,82,307,65,66,60,56,60,306,41,49,73,73,70,70,78,30,39,36,45,8,9,15,6,7,1882,403,Medium,Medium,92,65,68,83,40,55
45,2017-07-01,NULL,"Hull City",NULL," M. Dawson",M.,Dawson,32,76,76,75,CB,0,204,19,25,81,56,23,181,17,23,11,73,57,238,32,30,50,72,54,308,62,79,66,80,21,276,80,74,35,43,44,44,72,78,80,77,48,8,6,6,13,15,1490,300,Medium,High,31,33,45,37,78,76
46,2017-07-01,NULL,"Hull City",NULL," T. Huddlestone",T.,Huddlestone,29,76,76,75,CM,0,368,76,60,72,81,79,371,68,68,74,79,82,235,34,50,34,73,44,354,89,57,46,87,75,370,77,74,63,84,72,72,80,70,68,66,48,10,7,11,9,11,1950,404,Low,Medium,43,71,79,68,70,73
47,2017-07-01,45,Swansea,2681," W. Routledge",W.,Routledge,31,76,76,75,RM,0,321,74,69,34,73,71,321,83,61,28,72,77,387,71,74,82,73,87,336,68,71,69,73,55,284,36,39,72,74,63,63,69,30,37,46,59,15,11,8,10,15,1821,391,Medium,Medium,73,66,70,81,36,65
48,2017-07-01,45,Swansea,7122," L. Narsingh",L.,Narsingh,25,76,76,76,RW,0,319,76,70,40,71,62,322,76,69,59,42,76,419,93,93,82,74,77,292,65,34,74,65,54,251,28,20,73,72,58,58,71,19,28,22,46,10,8,14,8,6,1718,384,Medium,Low,93,65,67,77,24,58
49,2017-07-01,45,Swansea,5595," J. Ayew",J.,Ayew,24,76,80,75,ST,4,367,70,73,76,74,74,366,80,77,71,60,78,383,77,77,81,76,72,370,76,72,74,74,74,326,75,35,72,70,74,74,70,23,22,25,45,6,8,7,16,8,1927,405,Medium,Low,77,74,70,79,31,74
50,2017-07-01,45,Swansea,2341," N. Dyer",N.,Dyer,28,76,76,75,RM,0,297,64,75,32,74,52,322,80,58,42,65,77,419,88,84,85,67,95,355,75,70,80,56,74,313,69,35,73,66,70,70,67,33,45,48,61,12,11,14,8,16,1893,409,High,High,86,73,67,80,38,65
51,2017-07-01,45,Swansea,4405," Àngel Rangel",Àngel,Rangel,33,76,76,76,CB,0,325,80,56,76,70,43,339,73,63,57,71,75,317,64,55,68,75,55,351,66,75,75,76,59,345,68,82,65,71,59,59,80,78,80,77,49,13,16,8,6,6,1961,414,Medium,Medium,59,59,71,72,79,74
52,2017-07-01,4,Chelsea,NULL," N. Aké",N.,Aké,21,75,85,74,CB,10,301,64,41,69,75,52,326,63,63,59,72,69,358,77,79,66,73,63,347,63,77,75,76,56,285,64,76,44,53,48,48,68,73,77,74,50,10,7,7,16,10,1891,408,Medium,Medium,78,49,67,66,75,73
53,2017-07-01,4,Chelsea,NULL," Eduardo",Eduardo,Eduardo,33,75,75,74,GK,0,78,13,20,12,22,11,100,11,11,14,32,32,276,46,44,60,68,58,223,38,75,20,72,18,142,28,24,11,42,37,37,53,13,20,20,373,75,74,71,78,75,1245,418,Medium,Medium,75,74,71,75,45,78
54,2017-07-01,7,Everton,NULL," A. Koné",A.,Koné,32,75,75,74,ST,0,343,61,73,71,67,71,310,73,57,56,49,75,356,75,76,73,71,61,382,80,78,73,83,68,281,47,28,73,66,67,67,72,22,43,26,42,10,6,7,12,7,1805,392,Medium,Medium,76,73,62,73,35,73
55,2017-07-01,11,"Man City",NULL," K. Iheanacho",K.,Iheanacho,19,75,88,74,ST,13,322,48,79,60,66,69,326,73,67,53,58,75,393,89,85,79,70,70,342,76,58,68,74,66,291,56,17,79,65,74,74,72,15,22,12,48,8,7,7,11,15,1771,386,High,Medium,87,75,60,74,22,68
56,2017-07-01,NULL,Middlesbrough,NULL," C. Chambers",C.,Chambers,21,75,85,74,CB,10,307,70,47,68,73,49,314,68,59,49,65,73,330,61,70,66,66,67,328,52,71,75,74,56,317,83,72,54,54,54,54,68,75,79,77,56,11,14,12,7,12,1883,403,Low,High,66,51,66,69,75,76
57,2017-07-01,NULL,Middlesbrough,NULL," Fábio",Fábio,Fábio,25,75,76,74,RWB,1,302,71,45,56,71,59,331,72,57,60,70,72,403,85,79,83,72,84,342,72,72,81,59,58,341,76,73,66,66,60,60,73,71,74,75,54,12,10,11,15,6,1993,421,High,High,82,56,69,74,71,69
58,2017-07-01,NULL,Middlesbrough,NULL," M. de Roon",M.,"de Roon",25,75,78,76,CDM,3,333,63,62,71,75,62,310,65,57,43,73,72,351,71,69,62,79,70,386,74,79,89,76,68,359,77,81,69,72,60,60,72,71,78,75,60,14,15,7,12,12,2023,429,Medium,Medium,70,66,69,68,76,80
59,2017-07-01,20,Southampton,4605," M. Yoshida",M.,Yoshida,27,75,75,74,CB,0,250,23,34,74,63,56,243,57,38,33,52,63,342,67,66,74,73,62,329,50,85,75,78,41,281,66,69,42,50,54,54,65,76,79,76,55,12,16,8,6,13,1731,367,Medium,Medium,66,41,48,62,75,75
60,2017-07-01,20,Southampton,4286," Oriol Romeu",Oriol,Romeu,24,75,79,74,CDM,4,227,37,25,65,78,22,299,55,49,53,71,71,306,66,55,60,66,59,329,60,67,75,84,43,333,83,76,50,70,54,54,72,73,77,68,63,12,14,10,11,16,1775,378,Medium,High,60,38,64,61,74,81
61,2017-07-01,20,Southampton,3811," N. Redmond",N.,Redmond,22,75,83,75,RM,8,296,71,68,33,69,55,353,79,69,65,63,77,412,89,86,90,63,84,307,71,48,72,45,71,263,38,22,71,72,60,60,62,18,26,30,58,12,14,16,6,10,1763,378,High,Medium,87,68,69,79,24,51
62,2017-07-01,20,Southampton,5272," P. Højbjerg",P.,Højbjerg,20,75,81,74,CM,6,314,66,52,60,76,60,365,75,69,70,74,77,359,68,68,73,75,75,366,76,64,78,75,73,339,78,74,62,74,51,51,69,65,72,64,50,9,7,12,11,11,1994,422,Medium,Medium,68,62,73,75,68,76
63,2017-07-01,20,Southampton,12463," J. Pied",J.,Pied,27,75,75,74,RM,0,363,78,68,71,77,69,373,75,75,73,75,75,378,77,78,78,68,77,376,83,70,80,69,74,350,77,73,70,67,63,63,73,71,72,70,51,13,9,7,15,7,2104,445,High,High,78,72,75,75,72,73
64,2017-07-01,25,"West Ham",NULL," D. Sakho",D.,Sakho,26,75,76,74,ST,1,343,58,77,76,62,70,313,72,53,62,52,74,363,77,77,73,74,62,360,72,80,65,79,64,311,67,37,78,56,73,73,69,24,23,22,60,12,10,9,13,16,1819,384,High,Medium,77,73,58,72,31,73
65,2017-07-01,25,"West Ham",11284," A. Masuaku",A.,Masuaku,22,75,81,75,LM,6,327,75,60,60,71,61,339,78,69,48,68,76,399,87,84,77,75,76,368,77,69,75,76,71,321,65,66,70,71,49,49,75,73,74,73,39,8,7,10,7,7,2013,442,High,Medium,85,66,70,77,71,73
66,2017-07-01,26,Leicester,3157," D. Simpson",D.,Simpson,29,75,75,74,CB,0,279,68,27,70,64,50,265,64,44,32,58,67,368,76,72,64,75,81,321,37,79,79,72,54,331,79,77,58,63,54,54,60,75,77,76,58,10,15,13,9,11,1850,391,Low,Medium,74,38,61,66,76,76
67,2017-07-01,26,Leicester,13490," Y. Benalouane",Y.,Benalouane,29,75,75,74,CB,0,264,61,24,67,64,48,273,47,51,52,63,60,327,69,68,60,67,63,335,68,79,67,82,39,281,79,78,46,40,38,38,59,73,76,75,65,14,13,9,14,15,1769,371,Medium,High,68,39,57,54,75,78
68,2017-07-01,NULL,Sunderland,NULL," J. Rodwell",J.,Rodwell,25,75,78,74,CM,3,356,68,69,78,75,66,332,72,66,47,72,75,337,64,64,73,74,62,384,77,78,79,75,75,349,73,75,70,74,57,57,71,72,73,66,57,9,10,15,11,12,2026,428,Medium,Medium,64,71,71,73,73,76
69,2017-07-01,NULL,Sunderland,NULL," S. Larsson",S.,Larsson,31,75,75,74,CM,0,378,90,72,66,76,74,395,74,86,84,74,77,322,51,55,65,76,75,376,81,70,79,67,79,367,82,59,70,78,78,78,75,64,61,60,54,7,11,14,14,8,2077,418,Medium,Medium,53,76,80,74,62,73
70,2017-07-01,NULL,Sunderland,NULL," V. Mannone",V.,Mannone,28,75,77,74,GK,2,95,11,16,14,39,15,99,15,12,15,33,24,281,59,60,42,76,44,217,32,75,31,67,12,157,29,16,12,57,43,43,68,19,11,20,365,75,72,71,71,76,1264,425,Medium,Medium,75,72,71,76,60,71
71,2017-07-01,NULL,Sunderland,NULL," S. Pienaar",S.,Pienaar,34,75,75,75,CAM,0,350,75,67,56,79,73,378,76,75,76,73,78,375,72,64,81,74,84,326,75,60,63,57,71,346,70,62,72,79,63,63,82,60,34,32,59,9,16,12,11,11,1960,402,High,Medium,68,70,77,77,49,61
72,2017-07-01,36,"West Brom",3244," J. Livermore",J.,Livermore,26,75,76,75,CDM,1,335,65,64,69,78,59,349,72,69,58,75,75,348,68,68,65,74,73,375,72,72,85,77,69,350,83,76,61,73,57,57,79,70,72,66,51,9,15,8,10,9,2016,430,Medium,Medium,68,66,73,72,71,80
73,2017-07-01,43,Burnley,3909," B. Mee",B.,Mee,26,75,75,74,CB,0,259,67,27,75,61,29,262,63,38,31,65,65,345,69,69,66,68,73,350,60,91,79,81,39,266,76,74,30,50,36,36,67,75,74,76,58,15,7,12,10,14,1765,384,Medium,High,69,37,58,65,75,80
74,2017-07-01,6,"Crystal Palace",3929," J. Ward",J.,Ward,26,75,76,75,CB,1,297,73,46,75,70,33,277,64,43,34,69,67,339,68,69,66,73,63,352,68,66,77,78,63,323,74,77,64,68,40,40,73,77,78,77,43,8,7,7,10,11,1863,409,Medium,Medium,69,54,67,66,77,76
75,2017-07-01,6,"Crystal Palace",3362," P. van Aanholt",P.,"van Aanholt",25,75,78,74,LB,3,313,62,61,64,73,53,318,74,38,61,74,71,408,89,88,77,76,78,370,70,86,85,65,64,324,73,67,74,64,46,46,65,67,76,75,45,9,15,7,8,6,1996,435,High,Medium,88,63,67,74,70,73
76,2017-07-01,6,"Crystal Palace",NULL," M. Flamini",M.,Flamini,32,75,75,74,CDM,0,338,63,58,70,74,73,325,61,65,56,71,72,328,63,57,62,74,72,355,78,70,69,73,65,358,83,77,69,68,61,61,77,73,76,72,38,7,12,6,6,7,1963,408,Medium,Medium,60,65,69,66,74,74
77,2017-07-01,6,"Crystal Palace",NULL," P. Souaré",P.,Souaré,26,75,76,74,LB,1,308,77,43,74,71,43,358,74,75,69,68,72,380,81,77,76,73,73,351,65,87,73,72,54,332,79,67,73,64,49,49,65,72,73,78,56,8,8,14,16,10,2008,420,High,Medium,79,51,70,74,72,74
78,2017-07-01,42,Stoke,4821," E. Pieters",E.,Pieters,27,75,75,77,CB,0,272,58,32,73,75,34,320,64,67,56,60,73,329,67,69,65,71,57,309,51,68,78,76,36,349,85,76,61,62,65,65,67,77,80,81,61,16,15,8,12,10,1878,396,Medium,Medium,68,40,65,67,78,78
79,2017-07-01,42,Stoke,1629," P. Crouch",P.,Crouch,35,75,75,74,ST,0,373,59,75,83,76,80,309,62,57,50,63,77,259,47,49,56,78,29,323,75,34,70,74,70,321,70,23,80,74,74,74,78,31,26,20,58,13,14,7,10,14,1720,357,Medium,Medium,48,74,68,65,32,70
80,2017-07-01,42,Stoke,NULL," J. Walters",J.,Walters,32,75,75,74,ST,0,365,75,75,76,72,67,326,72,64,56,61,73,356,67,68,76,77,68,395,75,76,91,84,69,360,81,61,75,69,74,74,73,61,56,44,45,8,14,7,10,6,2008,427,High,High,68,73,69,73,59,85
81,2017-07-01,127,Bournemouth,8045," S. Cook",S.,Cook,25,75,80,74,CB,5,234,40,24,71,68,31,226,54,22,22,60,68,315,67,53,56,69,70,283,47,71,68,81,16,213,74,72,12,35,20,20,74,74,79,73,59,14,12,7,14,12,1556,347,Medium,High,59,27,50,60,75,76
82,2017-07-01,127,Bournemouth,2338," A. Surman",A.,Surman,29,75,75,74,CM,0,327,68,63,59,82,55,351,72,61,68,76,74,331,64,62,63,69,73,352,67,71,80,69,65,341,68,65,65,76,67,67,73,62,68,62,61,16,14,7,16,8,1955,410,Medium,Medium,63,64,75,72,64,72
83,2017-07-01,127,Bournemouth,8050," H. Arter",H.,Arter,26,75,76,74,CM,1,324,62,70,49,80,63,354,72,64,70,75,73,361,69,69,76,71,76,372,76,70,77,74,75,366,84,71,68,75,68,68,71,56,70,58,43,7,7,11,10,8,2004,427,High,High,69,72,73,73,63,77
84,2017-07-01,NULL,"Hull City",NULL," A. Ranocchia",A.,Ranocchia,28,75,76,74,CB,1,231,45,22,75,65,24,254,58,30,34,65,67,246,52,54,48,60,32,312,59,74,66,82,31,259,63,79,24,59,34,34,68,76,80,76,65,12,15,11,12,15,1599,353,Medium,Medium,53,32,57,59,78,74
