season,h_matchId,h_matchDate,h_homeTeamId,h_awayTeamId,h_homeTeamScore,h_awayTeamScore,label,H_OVA,H_POT,H_BOV,H_GROWTH,H_ATTACKING,H_CROSSING,H_FINISHING,H_HEADING_ACCURACY,H_SHORT_PASSING,H_VOLLEYS,H_totalSKILL,H_DRIBBLING,H_CURVE,H_FK_ACCURACY,H_LONG_PASSING,H_BallControl,H_TotalMovement,H_Acceleration,H_SprintSpeed,H_Agility,H_Reactions,H_Balance,H_TotalPower,H_ShotPower,H_Jumping,H_Stamina,H_Strength,H_LongShots,H_TotalMentary,H_Aggression,H_Interceptions,H_Positioning,H_Vision,H_Penalties,H_Composure,H_DEFENDING,H_Marking,H_StandingStackle,H_SlidingTackle,H_GOALKEEPING,H_GKDriving,H_GKHandling,H_GKKicking,H_GKPositioning,H_GKReflexes,H_TotalStats,H_BaseStats,H_AttackingWorkRate,H_DefensiveWorkRate,H_Pac,H_SHO,H_Pas,H_Dri,H_DEF,H_PHY,a_matchId,a_matchDate,a_homeTeamId,a_awayTeamId,A_OVA,A_POT,A_BOV,A_GROWTH,A_ATTACKING,A_CROSSING,A_FINISHING,A_HEADING_ACCURACY,A_SHORT_PASSING,A_VOLLEYS,A_totalSKILL,A_DRIBBLING,A_CURVE,A_FK_ACCURACY,A_LONG_PASSING,A_BallControl,A_TotalMovement,A_Acceleration,A_SprintSpeed,A_Agility,A_Reactions,A_Balance,A_TotalPower,A_ShotPower,A_Jumping,A_Stamina,A_Strength,A_LongShots,A_TotalMentary,A_Aggression,A_Interceptions,A_Positioning,A_Vision,A_Penalties,A_Composure,A_DEFENDING,A_Marking,A_StandingStackle,A_SlidingTackle,A_GOALKEEPING,A_GKDriving,A_GKHandling,A_GKKicking,A_GKPositioning,A_GKReflexes,A_TotalStats,A_BaseStats,A_AttackingWorkRate,A_DefensiveWorkRate,A_Pac,A_SHO,A_Pas,A_Dri,A_DEF,A_PHY
2020/21,59260,2021-05-19,7,38,1,0,1,79.67221818,82.36363636,80.61464545,2.69141818,322.05151818,63.10909091,60.02424545,67.67424545,74.90757273,56.33636364,314.65985455,68.52626364,56.99090909,49.30909091,67.11110909,72.72247273,346.21010000,66.61439091,68.90252727,66.56288182,78.52120909,65.60909091,362.70075455,73.14545455,76.97424545,75.79065455,76.29040000,60.50000000,327.70075455,73.74494545,64.91338182,61.67980000,68.87171818,58.49090909,58.49090909,76.22727273,64.88686364,66.95580909,63.10075455,84.44545455,17.27272727,15.96363636,16.45454545,16.84545455,17.90909091,1952.71187273,429.93055455,2.4545454545454546,2.5252525252525255,70.86641818,66.95353636,71.68080909,74.83207273,68.25251818,77.34520000,59260,2021-05-19,7,38,75.77500000,81.55606364,76.70454545,5.78106364,286.19470000,61.33788182,49.75454545,57.13636364,69.23863636,48.72727273,308.47500000,67.92954545,58.12575455,47.22424545,63.85454545,71.34090909,336.37120909,66.09470000,67.28333636,65.10000000,72.69318182,65.20000000,328.74772727,65.90909091,70.00909091,68.59318182,69.46363636,54.77272727,298.91060909,65.43636364,59.65909091,57.09090909,64.72424545,52.00000000,52.00000000,71.84545455,57.67500000,59.83409091,56.57500000,81.81818182,16.54545455,16.18181818,16.09090909,17.27272727,15.72727273,1814.60151818,401.38636364,2.1818181818181817,2.1931818181818183,69.41439091,58.77272727,68.55833636,73.45000000,61.09772727,70.09318182
2020/21,59262,2021-05-19,23,18,1,0,1,75.87980000,78.64949091,76.57676364,2.76970000,287.54040000,58.50403636,54.68181818,52.96363636,71.11818182,50.27272727,315.86161818,67.84242727,60.50505455,52.26363636,65.03636364,70.21414545,349.76565455,68.73030000,69.72828182,68.66464545,73.66060909,68.98181818,328.81010000,67.96363636,66.66464545,69.69494545,67.17778182,57.30909091,299.70606364,64.02929091,53.50808182,60.57272727,65.68687273,55.90909091,55.90909091,70.45454545,52.89393636,55.03838182,52.38282727,88.25454545,17.45454545,17.05454545,18.69090909,17.55454545,17.50000000,1830.25353636,404.54747273,2.5454545454545454,2.1525252525252525,72.28080909,63.19090909,68.94444545,73.85151818,56.15252727,70.12727273,59262,2021-05-19,23,18,74.48111000,76.85667000,74.89444000,2.37556000,282.19000000,61.33000000,47.92000000,56.09000000,67.59000000,49.26000000,300.78000000,62.79000000,58.50000000,48.60000000,63.87000000,67.02000000,344.72667000,65.93778000,66.78000000,68.71000000,72.99889000,70.30000000,320.73000000,63.38000000,67.95000000,72.58000000,66.17000000,50.65000000,294.86000000,66.52000000,63.14000000,54.61000000,62.49000000,48.10000000,48.10000000,66.64000000,63.74000000,63.46000000,60.45000000,82.86667000,19.04444000,17.96667000,15.30000000,14.81111000,15.74444000,1813.80334000,399.94778000,2.21,2.2,69.15555000,57.09667000,67.36000000,70.33444000,65.65000000,70.35111000
2020/21,59264,2021-05-19,21,2,1,2,-1,82.38080909,85.87575455,83.39899091,3.49494545,320.75454545,65.16970000,58.01312727,65.56970000,76.97778182,55.02424545,339.00100909,70.21818182,64.21818182,57.65960000,71.79798182,75.10707273,359.81313636,69.79292727,71.48181818,68.96060909,82.16262727,67.41515455,354.75555455,73.63030000,70.10000000,75.57373636,72.17272727,63.27879091,325.49798182,71.00505455,61.95555455,63.71110909,68.75353636,60.07272727,60.07272727,78.82828182,66.67171818,59.75050909,57.33030000,86.71818182,17.45454545,16.91818182,16.33636364,17.64545455,18.36363636,1970.29292727,435.59697273,2.4363636363636365,2.584848484848485,73.07070909,68.13333636,73.61919091,77.70707273,66.47778182,76.58889091,59264,2021-05-19,21,2,76.41919091,80.46161818,77.95859091,4.04242727,293.74647273,61.17272727,51.83434545,61.21312727,70.65960000,48.86666364,311.08181818,67.58687273,56.88181818,50.55454545,65.77575455,70.28282727,351.16464545,71.00403636,72.77576364,69.68282727,73.70201818,64.00000000,337.73030000,69.64949091,68.62626364,71.67070909,73.53333636,54.25050000,296.26667273,63.57272727,56.81818182,58.07676364,66.79899091,51.00000000,51.00000000,67.76161818,56.04545455,57.40909091,53.41818182,87.01010000,17.48484545,17.64646364,16.88889091,17.05050909,17.93939091,1843.87273636,410.83030000,2.3525252525252522,2.2222222222222223,73.89190909,61.04444545,68.96565455,73.33433636,60.64545455,72.94849091
2020/21,59259,2021-05-19,6,1,1,3,-2,75.85454545,76.98181818,75.90000000,1.12727273,289.66363636,58.80909091,52.90909091,62.70909091,66.21818182,49.01818182,285.60909091,63.85454545,51.84545455,44.64545455,59.24545455,66.01818182,325.01818182,61.43636364,63.20909091,65.71818182,73.52727273,61.12727273,326.45454545,66.00000000,67.15454545,65.19090909,72.64545455,55.46363636,305.60909091,70.30909091,58.43636364,58.38181818,63.26363636,55.21818182,55.21818182,70.00000000,58.44545455,58.00909091,56.40909091,81.94545455,17.45454545,15.47272727,16.00000000,15.56363636,17.45454545,1787.16363636,395.70000000,2.409090909090909,2.2636363636363637,65.14545455,61.44545455,64.82727273,70.14545455,61.50909091,72.62727273,59259,2021-05-19,6,1,79.03510909,83.88560909,80.17829091,4.85050000,293.50100909,62.03939091,53.71818182,58.23636364,73.97980000,45.52727273,316.98383636,67.62020909,59.83636364,50.97272727,66.60606364,71.94849091,354.32701818,71.75353636,72.81010000,69.17272727,76.77853636,63.81211818,339.65125455,68.80909091,68.54444545,73.84950000,71.76969091,56.67853636,305.98913636,62.92423636,59.52853636,60.21717273,69.28282727,54.03636364,54.03636364,74.16970000,59.05151818,58.14318182,57.62500000,86.23636364,17.09090909,17.97272727,18.08181818,16.36363636,16.72727273,1871.50833636,418.79444545,2.4363636363636365,2.5636363636363635,75.02727273,62.90883636,71.41819091,74.42727273,62.00379091,73.00909091
2020/21,59257,2021-05-19,43,10,0,3,-3,75.94545455,77.37272727,76.32727273,1.42727273,301.50909091,64.00909091,52.19090909,65.34545455,69.30909091,50.65454545,321.64545455,64.70000000,64.09090909,57.92727273,66.26363636,68.66363636,330.30909091,62.02727273,63.50909091,63.46363636,74.32727273,66.98181818,347.93636364,69.29090909,75.40909091,73.27272727,72.58181818,57.38181818,313.36363636,70.13636364,64.64545455,59.06363636,66.75454545,52.76363636,52.76363636,72.86363636,63.36363636,64.02727273,60.14545455,77.09090909,16.18181818,14.54545455,17.18181818,14.27272727,14.90909091,1879.39090909,406.30000000,2.4545454545454546,2.618181818181818,64.82727273,60.99090909,69.37272727,70.56363636,66.50909091,74.03636364,59257,2021-05-19,43,10,83.20996364,86.36060909,83.60996364,3.15064545,322.86882727,64.90000000,59.17272727,64.49740000,77.64415455,56.65454545,341.77749091,72.13852727,65.70000000,55.97272727,72.38311818,75.58311818,372.32481818,73.39120000,71.67373636,72.35454545,82.34372727,72.56161818,352.24083636,71.61818182,71.58152727,77.63851818,71.82987273,59.57272727,331.61645455,67.92727273,63.52424545,64.40000000,73.59220909,62.17272727,62.17272727,78.48960909,61.32208182,64.22510909,58.77360000,86.01818182,17.45454545,17.69090909,16.34545455,16.43636364,18.09090909,1991.16739091,439.61442727,2.515151515151515,2.3636363636363638,75.56233636,67.75454545,75.85584545,78.91226364,65.87445455,75.65497273
2020/21,59265,2021-05-19,36,25,1,3,-2,73.29698182,77.04141818,74.06970909,3.74445455,274.71111818,57.96262727,50.59394545,57.37778182,65.00909091,43.76768182,287.87273636,64.31212727,53.75353636,43.68687273,59.92828182,66.19192727,330.48080909,66.88990000,69.29899091,64.45454545,69.04950000,60.78788182,323.91919091,60.89191818,65.18181818,70.96363636,72.93636364,53.94545455,292.88485455,63.99090909,55.32020000,56.96363636,61.74646364,54.86363636,54.86363636,63.32424545,56.38990000,57.96767273,52.68384545,82.74747273,17.54545455,16.72727273,16.81818182,15.69697273,15.95960000,1759.65759091,394.73586364,2.3636363636363638,2.1818181818181817,71.74343636,58.28283636,64.24142727,69.85758182,58.42929091,72.18132727,59265,2021-05-19,36,25,77.86818182,79.50454545,78.37954545,1.63636364,303.08409091,63.44545455,54.21363636,64.50000000,71.47954545,49.44545455,314.72500000,67.54545455,60.17045455,49.33636364,66.79090909,70.88181818,346.21818182,66.28409091,68.30000000,68.91818182,75.29318182,67.42272727,342.15227273,68.79772727,72.50909091,72.99772727,69.66818182,58.17954545,315.95454545,69.85454545,63.48636364,60.46818182,65.70909091,56.43636364,56.43636364,69.98409091,64.75909091,63.61818182,61.17954545,75.90909091,16.90909091,15.18181818,14.09090909,14.09090909,15.63636364,1887.60000000,415.88409091,2.5772727272727276,2.4568181818181816,70.45454545,62.61590909,70.00000000,73.42727273,66.19090909,73.19545455
2020/21,59261,2021-05-18,12,34,1,1,0,81.67272727,85.45454545,82.49090909,3.78181818,323.63636364,66.48181818,56.69090909,65.40681818,76.64772727,58.40909091,346.53636364,72.90000000,67.74090909,59.27272727,70.70000000,75.92272727,371.66363636,72.32045455,75.39772727,74.60454545,81.69545455,67.64545455,361.26590909,75.49772727,74.34545455,77.20454545,72.99318182,61.22500000,343.14318182,74.32954545,65.90000000,66.52045455,74.45681818,61.93636364,61.93636364,79.02500000,65.30000000,66.11818182,61.16363636,79.61818182,15.83636364,16.15454545,15.12727273,15.57272727,16.92727273,2018.44545455,444.27954545,2.5818181818181816,2.5454545454545454,76.79090909,67.32727273,75.17500000,79.30909091,68.48181818,77.19545455,59261,2021-05-18,12,34,72.07070000,78.70454545,73.07449091,6.63383636,280.28030909,58.28661818,52.36490000,54.15403636,68.54546364,46.92929091,296.94192727,64.22600909,56.23232727,48.09090909,61.52651818,66.86615455,354.23610909,70.64646364,71.70960000,72.41413636,65.73232727,73.73358182,316.09090000,63.38384545,64.48105455,66.36110909,67.74369091,54.12120909,285.54419091,59.14141818,53.79798182,56.48484545,63.56439091,52.55555455,52.55555455,68.61615455,50.41161818,54.30934545,50.28030000,88.12120909,19.09090909,17.63636364,17.90909091,15.87879091,17.60606364,1776.21590000,395.53156364,2.220959595959596,2.090909090909091,73.99494545,59.79040000,66.33458182,71.83586364,56.19318182,67.38256364
2020/21,59263,2021-05-18,20,9,0,2,-2,74.95000000,79.19545455,75.93181818,4.24545455,279.00000000,57.38181818,51.67272727,59.57272727,67.14545455,43.22727273,301.29318182,63.63636364,58.10000000,53.17272727,60.43636364,65.94772727,341.35353636,70.06767273,69.12727273,66.85858182,71.28181818,64.01818182,324.38358182,65.90000000,69.02727273,67.69671818,68.21414545,53.54545455,291.62727273,66.19090909,53.50000000,57.17272727,60.58181818,54.18181818,54.18181818,67.30000000,52.18181818,55.90909091,51.47272727,82.46363636,17.82727273,15.16363636,14.91818182,18.20000000,16.35454545,1779.68484545,394.05960000,2.518181818181818,2.1636363636363636,71.40909091,59.60000000,64.73636364,70.33636364,58.01818182,69.95960000,59263,2021-05-18,20,9,75.88510000,77.73737273,76.52146364,1.85227273,299.00378182,62.05050909,56.02525455,60.44823636,68.80302727,51.67677273,303.10731818,64.98610909,55.20202727,51.05050909,62.19571818,69.67297273,357.90404545,71.66667273,72.44444545,70.22727273,74.20202727,69.36363636,348.67677273,67.70075455,73.71716364,78.56818182,71.67424545,57.01641818,309.16161818,69.08333636,57.41413636,61.13130909,65.29040909,56.24242727,56.24242727,69.95075455,56.36110000,56.70076364,53.08080909,78.10100909,15.60606364,15.16161818,15.94949091,14.68687273,16.69697273,1862.09722727,409.91540909,2.6363636363636362,2.436868686868687,74.44444545,62.94192727,67.48863636,71.54167273,59.51893636,73.97980000
2020/21,59256,2021-05-18,131,11,3,2,1,73.11212727,79.00504545,74.35758182,5.89293636,287.13940000,60.69090909,51.21818182,59.10000000,70.23940000,45.89090909,305.21818182,66.25454545,54.09090909,48.80909091,66.32120909,69.74242727,325.12727273,64.84646364,65.15883636,62.87045455,70.58788182,61.66363636,326.68939091,64.75151818,68.49620909,67.07575455,71.51136364,54.85454545,288.31262727,64.03636364,55.72727273,54.61818182,65.14444545,48.78636364,48.78636364,71.56363636,58.95151818,57.95757273,55.63333636,76.65656364,15.64646364,15.53535455,15.56565455,15.30302727,14.60606364,1781.68586364,394.67525455,2.3636363636363638,2.127272727272727,67.16868182,58.38990000,67.68080909,70.67576364,60.42828182,70.33181818,59256,2021-05-18,131,11,83.21312727,86.96312727,84.19798182,3.75000000,322.11843636,67.10909091,59.27980000,60.07272727,80.15681818,55.50000000,350.49090909,75.18460000,65.38181818,54.91515455,75.86818182,79.14116364,377.70909091,75.14772727,72.70707273,75.40403636,81.34318182,73.10707273,345.17247273,73.83939091,66.63636364,76.70681818,66.74444545,61.24545455,326.59242727,66.07272727,62.53181818,67.06060909,75.92727273,55.00000000,55.00000000,80.99545455,63.40681818,61.55454545,55.44090909,88.02727273,16.90909091,17.45454545,18.27272727,17.75454545,17.63636364,1990.51288182,439.69848182,2.590909090909091,2.3000000000000003,75.77853636,67.71616364,78.11338182,81.27500000,65.35681818,71.45858182
2020/21,59258,2021-05-18,4,26,2,1,1,82.27322727,85.19140909,82.97625455,2.91818182,310.58181818,67.47879091,52.65454545,61.71717273,75.01413636,53.71717273,333.03333636,69.93636364,60.18889091,59.02727273,69.35353636,74.52727273,363.13889091,70.82424545,69.57272727,72.34343636,81.52575455,68.87272727,345.21413636,72.31818182,70.66363636,76.18181818,69.38990000,56.66060000,322.62423636,68.92828182,64.15454545,62.50909091,70.22322727,56.80909091,56.80909091,76.02424545,62.72727273,63.62727273,61.43636364,83.43181818,17.43181818,16.79545455,16.18181818,16.90909091,16.11363636,1945.81515455,428.71261818,2.3636363636363638,2.3636363636363638,74.39747273,63.72980000,74.55858182,77.29545455,65.09090909,73.64040000,59258,2021-05-18,4,26,79.12171818,83.30505455,80.26515455,4.18333636,305.10630909,61.54545455,55.39798182,60.13106364,71.33409091,56.69772727,315.96767273,67.55909091,58.68863636,52.32954545,64.60227273,72.78812727,359.93889091,71.68207273,71.78409091,70.52500000,77.67272727,68.27500000,334.41363636,68.77045455,70.01464545,73.65681818,65.56262727,56.40909091,320.15403636,70.92045455,61.70176364,64.16818182,67.86363636,55.50000000,55.50000000,74.09318182,64.08130909,64.20000000,58.01363636,87.78181818,18.27272727,16.68181818,16.31818182,18.20000000,18.30909091,1909.65732727,421.39318182,2.505050505050505,2.4454545454545453,74.59494545,63.68636364,69.95000000,75.44318182,66.00403636,71.71464545
