season,h_matchId,h_matchDate,h_homeTeamId,h_awayTeamId,h_homeTeamScore,h_awayTeamScore,label,H_OVA,H_POT,H_BOV,H_GROWTH,H_ATTACKING,H_CROSSING,H_FINISHING,H_HEADING_ACCURACY,H_SHORT_PASSING,H_VOLLEYS,H_totalSKILL,H_DRIBBLING,H_CURVE,H_FK_ACCURACY,H_LONG_PASSING,H_BallControl,H_TotalMovement,H_Acceleration,H_SprintSpeed,H_Agility,H_Reactions,H_Balance,H_TotalPower,H_ShotPower,H_Jumping,H_Stamina,H_Strength,H_LongShots,H_TotalMentary,H_Aggression,H_Interceptions,H_Positioning,H_Vision,H_Penalties,H_Composure,H_DEFENDING,H_Marking,H_StandingStackle,H_SlidingTackle,H_GOALKEEPING,H_GKDriving,H_GKHandling,H_GKKicking,H_GKPositioning,H_GKReflexes,H_TotalStats,H_BaseStats,H_AttackingWorkRate,H_DefensiveWorkRate,H_Pac,H_SHO,H_Pas,H_Dri,H_DEF,H_PHY,a_matchId,a_matchDate,a_homeTeamId,a_awayTeamId,A_OVA,A_POT,A_BOV,A_GROWTH,A_ATTACKING,A_CROSSING,A_FINISHING,A_HEADING_ACCURACY,A_SHORT_PASSING,A_VOLLEYS,A_totalSKILL,A_DRIBBLING,A_CURVE,A_FK_ACCURACY,A_LONG_PASSING,A_BallControl,A_TotalMovement,A_Acceleration,A_SprintSpeed,A_Agility,A_Reactions,A_Balance,A_TotalPower,A_ShotPower,A_Jumping,A_Stamina,A_Strength,A_LongShots,A_TotalMentary,A_Aggression,A_Interceptions,A_Positioning,A_Vision,A_Penalties,A_Composure,A_DEFENDING,A_Marking,A_StandingStackle,A_SlidingTackle,A_GOALKEEPING,A_GKDriving,A_GKHandling,A_GKKicking,A_GKPositioning,A_GKReflexes,A_TotalStats,A_BaseStats,A_AttackingWorkRate,A_DefensiveWorkRate,A_Pac,A_SHO,A_Pas,A_Dri,A_DEF,A_PHY
2018/19,38678,2019-05-12,131,11,1,4,-3,75.74241818,78.37120909,75.32953636,2.62879091,287.62879091,57.72726364,49.95454545,61.90909091,69.14393636,48.89393636,298.59849091,63.91667273,54.00000000,47.69697273,64.92423636,68.06061818,326.16289091,60.73106364,61.93181818,64.10605455,74.03029091,65.36363636,340.75757273,69.00000000,75.91667273,67.70454545,70.95455455,57.18181818,309.84848182,71.96970000,60.44697273,58.30302727,65.81060909,53.31818182,53.31818182,71.96970000,57.32575455,58.39393636,56.58333636,86.85606364,18.17424545,18.30302727,18.07575455,16.93939091,15.36363636,1822.15530000,397.80303636,2.46970000,2.54545455,63.91667273,60.85606364,67.49999091,71.00757273,61.83333636,72.68938182,38678,2019-05-12,131,11,84.45454545,86.92424545,83.34850909,2.46970909,329.38636364,69.97727273,62.21211818,57.50758182,78.96211818,60.72728182,362.35606364,75.51136364,70.31060000,64.95453636,72.63257273,78.94697273,385.00756364,76.09090909,74.01515455,76.65150909,83.44697273,74.80303636,343.79168182,73.15909091,66.76515455,72.55302727,66.43939091,64.87500000,323.79925455,61.55302727,55.40909091,69.03787273,75.90150909,61.89772727,61.89772727,80.55681818,56.31060000,56.00000000,49.31818182,85.02272727,18.06060000,17.03030000,16.81060909,17.09090909,16.03030000,1990.99240909,436.62120909,2.60606364,2.21211818,76.86363636,70.54925455,78.35986364,81.70454545,59.56060909,69.58333636
2018/19,38679,2019-05-12,43,1,1,3,-2,76.17423636,78.25000000,75.64771818,2.07576364,300.75377273,62.12500000,52.11363636,66.68181818,67.98484545,51.84848182,312.53030909,65.05303636,61.04166364,53.11363636,64.62500909,68.69697273,341.23106364,66.53031818,65.26893636,66.68181818,73.79545455,68.95454545,345.14014545,64.93940000,76.87120909,74.17423636,74.71970000,54.43560000,312.16665455,70.87121818,61.25000000,58.93560909,66.44317273,54.66666364,54.66666364,73.08332727,59.98485455,60.69696364,58.18939091,84.41666364,17.57575455,15.95454545,17.98484545,16.02272727,16.87879091,1875.10985455,411.31061818,2.45454545,2.50000000,68.09090909,61.54546364,68.89772727,71.85984545,64.42045455,76.49621818,38679,2019-05-12,43,1,77.13636364,82.67423636,75.73485455,5.53787273,290.12500000,58.72348182,52.25000000,58.01893636,70.64015455,50.49241818,303.95454545,64.00379091,58.56060000,49.72727273,63.71970000,67.94318182,348.35605455,68.63636364,70.06818182,69.02650909,74.09470000,66.53030000,330.68561818,64.77272727,69.06060000,72.16287273,69.96970909,54.71969091,302.50758182,63.24999091,60.50000000,58.01892727,65.46591818,55.27272727,55.27272727,71.42423636,56.42802727,57.81818182,57.57575455,77.27272727,15.13636364,15.50000000,16.90909091,15.59090909,14.13636364,1824.72349091,406.48106364,2.19697273,2.34849091,72.38257273,61.75379091,68.23106364,71.48483636,60.65909091,71.96970000
2018/19,38680,2019-05-12,6,127,5,3,2,77.17424545,79.43180909,76.49242727,2.25757273,300.12499091,66.75758182,56.15151818,57.57576364,69.43560909,50.20453636,311.02651818,67.82197273,57.45454545,52.95454545,61.96969091,70.82576364,357.35228182,70.24241818,70.01515455,73.21211818,74.02651818,69.85604545,333.20831818,66.39393636,65.27272727,73.81440000,69.36364545,58.36363636,313.60606364,69.94698182,55.79546364,63.57576364,65.30304545,58.98484545,58.98484545,72.23483636,57.73484545,56.36363636,55.65909091,78.67045455,15.81818182,15.90909091,16.28409091,14.29545455,16.36363636,1863.74620909,413.77650909,2.34848182,2.19696364,72.90909091,64.42424545,69.24620909,74.66288182,59.56060909,72.97349091,38680,2019-05-12,6,127,73.89610000,78.52164545,73.13636364,4.62552727,279.48810000,57.63960909,51.44913636,56.88527273,67.09957273,46.41450000,289.70184545,64.47563636,54.23918182,46.91017273,57.62013636,66.45670000,352.74242727,72.00000000,72.16179091,68.91016364,67.84685455,71.82358182,325.14393636,63.83063636,68.34415455,69.44860000,68.42640000,55.09415455,286.57359091,63.59361818,56.53463636,55.53084545,59.76840000,51.14610909,51.14610909,65.89771818,54.46753636,58.99242727,54.83982727,73.33117273,15.57791818,15.44805455,14.31818182,15.05194545,12.93506364,1775.28084545,392.93560000,2.36363636,2.27272727,74.14285455,58.26460909,63.70562727,69.64826364,58.14286364,69.03138182
2018/19,38681,2019-05-12,34,23,0,4,-4,73.89583636,78.67424545,73.20265455,4.77840909,282.64393636,53.84090909,51.14772727,62.43181818,67.12500000,48.09848182,283.00000000,63.03030000,50.62120909,45.13636364,59.05681818,65.15530000,344.21590909,68.32197273,69.65909091,68.17424545,71.17802727,66.88257273,324.86742727,60.98863636,72.27840909,69.40909091,72.50568182,49.68560909,287.29734545,64.95075455,55.53030000,53.81439091,61.68370909,51.31818182,51.31818182,67.34848182,57.37879091,58.20454545,52.47727273,85.80681818,18.67045455,17.86363636,16.46590909,15.40909091,17.39772727,1775.89204545,398.17424545,2.13636364,2.36363636,71.73674545,58.43939091,64.67045455,70.08711818,60.23863636,73.00189091,38681,2019-05-12,34,23,75.82576364,78.21212727,75.34090909,2.38635455,294.14016364,54.90151818,54.72727273,62.03030000,70.22350000,52.25758182,300.80682727,65.14014545,56.52272727,47.75758182,62.71590000,68.67044545,340.49620000,66.86741818,66.23105455,67.00757273,72.96590000,67.42423636,335.21211818,64.53787273,72.88636364,71.54923636,69.15910909,57.07954545,304.27651818,68.97728182,55.83711818,59.10985455,63.44318182,56.90909091,56.90909091,69.35605455,55.06060000,55.92046364,52.24621818,87.48484545,18.21211818,18.00000000,17.09090909,15.90909091,18.27272727,1825.64394545,401.76135455,2.27272727,2.18939091,69.37120909,63.27273636,66.71590909,71.48485455,58.46970000,72.44696364
2018/19,38682,2019-05-12,26,4,0,0,0,78.39772727,82.73485455,77.59470000,4.33711818,296.53030000,60.41667273,51.44696364,58.81818182,70.75758182,55.09090909,314.68940000,65.55303636,57.80302727,52.68939091,66.49242727,72.15151818,353.93182727,70.02273636,70.55302727,68.82576364,75.49620909,69.03410000,333.35985455,68.86364545,70.81817273,73.11364545,67.66287273,52.90151818,320.40909091,71.81060909,63.96969091,60.34470000,67.91288182,56.37120909,56.37120909,73.46590909,62.31060909,64.00000000,61.65910000,90.36363636,18.43939091,18.30302727,17.25757273,18.12120909,18.24242727,1897.25380000,417.02272727,2.48484545,2.69697273,72.32575455,61.43181818,69.88636364,73.75757273,66.87879091,72.74242727,38682,2019-05-12,26,4,81.92044545,83.37878182,80.52271818,1.45833636,326.89394545,68.15910000,61.40150909,61.07575455,76.09090909,60.16666364,355.01515455,73.09848182,68.93181818,63.18181818,72.87120909,76.93180909,360.87500000,70.92425455,71.74242727,71.52651818,78.92803636,67.75379091,351.69696364,71.78788182,66.39394545,74.71212727,71.56818182,67.23484545,327.77273636,66.30302727,58.84090909,67.75000000,73.06060909,61.81818182,61.81818182,76.44697273,57.37879091,59.72727273,56.39393636,80.17424545,16.18181818,15.77272727,16.49242727,15.18181818,16.54545455,1975.92801818,434.10984545,2.45454545,2.15151818,74.25000000,70.34470000,76.06819091,78.85984545,61.40150909,73.18561818
2018/19,38683,2019-05-12,10,38,2,0,2,82.82576364,86.15151818,81.85605455,3.32576364,322.62879091,67.09849091,60.72726364,64.77273636,76.00000000,54.03030000,336.25378182,72.40150909,66.20455455,52.50000000,70.82197273,74.32575455,371.62121818,75.28787273,76.29546364,71.06818182,81.80302727,67.16667273,355.25377273,70.49241818,71.20454545,77.31060000,74.36742727,61.87878182,331.56440000,69.75000000,62.77272727,64.88636364,73.45833636,60.69697273,60.69697273,77.92423636,59.67046364,63.06060909,59.13257273,89.07954545,18.85227273,17.95454545,18.19318182,15.85227273,18.22727273,1988.26515455,442.97348182,2.61363636,2.31818182,78.98106364,68.78788182,75.51893636,78.07575455,64.76893636,76.84091818,38683,2019-05-12,10,38,78.07954545,81.09090909,77.20454545,3.01136364,297.03409091,60.05681818,51.27272727,62.88636364,71.00000000,51.81818182,306.15909091,61.94318182,57.87500000,51.81818182,67.05681818,67.46590909,326.11363636,62.60227273,64.51136364,63.02272727,74.46590909,61.51136364,343.73863636,67.79545455,71.63636364,74.38636364,75.31818182,54.60227273,318.01136364,74.19318182,65.95454545,57.51136364,65.76136364,54.59090909,54.59090909,73.95454545,63.32954545,64.35227273,60.89772727,86.59090909,16.81818182,17.81818182,18.81818182,17.13636364,16.00000000,1866.22727273,410.80681818,2.36363636,2.45454545,66.51136364,61.51136364,69.87500000,69.04545455,67.53409091,76.32954545
2018/19,38684,2019-05-12,12,46,0,2,-2,78.90228182,84.74697273,78.09850000,5.84470000,319.61893636,65.30302727,59.54924545,64.07727273,72.23485455,58.45455455,324.20606364,68.32727273,63.85605455,53.40909091,66.81818182,71.79544545,359.23484545,72.55302727,73.98106364,70.93940909,76.74091818,65.02043636,345.89925455,68.85075455,69.55530909,73.71590909,72.46289091,61.31440000,322.81514545,70.25757273,61.14848182,62.54923636,69.05680909,59.80303636,59.80303636,73.32272727,57.62879091,59.61742727,56.05302727,84.78030000,17.72727273,15.62879091,16.09090909,17.64393636,17.68939091,1929.85378182,429.73180909,2.45454545,2.25757273,76.30681818,67.96061818,71.90150909,75.37043636,62.86819091,75.32423636,38684,2019-05-12,12,46,71.52272727,73.02840909,71.22159091,1.50568182,258.84659091,52.06250000,45.52272727,57.22727273,59.36363636,44.67045455,263.80681818,57.06250000,46.24431818,45.31818182,53.16477273,62.01704545,320.31818182,63.73295455,64.53409091,62.42045455,68.85795455,60.77272727,301.97159091,56.77272727,63.61363636,64.78409091,71.45454545,45.34659091,275.96590909,61.71590909,56.75000000,50.29545455,54.75000000,52.45454545,52.45454545,63.25000000,48.05681818,51.88636364,49.86363636,94.09090909,19.37500000,17.03409091,18.37500000,18.88636364,20.42045455,1664.80681818,375.27840909,2.12500000,2.21590909,67.90340909,54.95454545,59.46022727,65.85227273,56.29545455,70.81250000
2018/19,38685,2019-05-12,20,159,1,1,0,73.93181818,78.87879091,73.19698182,4.94696364,274.16667273,57.86363636,46.69697273,58.41666364,67.03787273,44.15151818,295.31060909,63.93939091,54.68181818,50.04545455,58.90909091,67.73484545,337.34849091,67.90908182,66.74240909,65.77272727,70.07574545,66.84848182,313.43180909,57.93939091,67.12878182,68.71212727,68.22727273,51.42424545,290.19696364,64.74242727,56.70454545,55.69697273,60.34848182,52.70454545,52.70454545,66.53788182,52.52272727,55.63636364,52.86364545,85.38636364,16.86363636,17.65909091,17.11363636,16.31818182,17.43181818,1756.86363636,386.46210000,2.37879091,2.37120909,69.37879091,55.33333636,64.57576364,70.06060000,57.75000000,69.36364545,38685,2019-05-12,20,159,71.53031818,77.21212727,70.74243636,5.68181818,271.30302727,55.53788182,48.21969091,56.45455455,65.91666364,45.17424545,287.18560909,61.32575455,55.01514545,46.42424545,59.27273636,65.14772727,333.43560000,68.56819091,67.86742727,65.06060000,67.49241818,64.44696364,311.79544545,58.89393636,67.69697273,68.37879091,67.43939091,49.38636364,279.18181818,62.27272727,54.34848182,54.68940000,57.68939091,50.18181818,50.18181818,63.74243636,59.02271818,55.81060909,53.31060909,77.18181818,14.18181818,15.04545455,16.31818182,15.86363636,15.77272727,1728.22727273,381.85983636,2.15151818,2.13636364,69.74242727,54.87120909,63.34091818,66.72349091,59.26514545,67.91667273
2018/19,38686,2019-05-12,21,7,2,2,0,81.19697273,83.78786364,80.40910000,2.59090000,322.72726364,65.70454545,60.15910000,64.82576364,75.87879091,56.15909091,337.11362727,69.77272727,63.46970000,58.87879091,70.57575455,74.41665455,350.03787273,70.70453636,70.86362727,66.90150909,79.14395455,62.42423636,348.28787273,69.87121818,70.41667273,74.29547273,69.80304545,63.90150909,328.95454545,70.56060909,60.19695455,67.39394545,69.37878182,61.42424545,61.42424545,77.39395455,57.37121818,59.15909091,54.32576364,80.39393636,16.90909091,15.81818182,14.18181818,16.09090909,17.39393636,1938.37120909,430.32575455,2.52273636,2.35606364,73.03029091,69.33334545,73.34090909,76.77271818,63.02272727,74.82577273,38686,2019-05-12,21,7,79.93560000,82.18560000,78.93939091,2.25000000,309.96590909,61.44318182,57.32954545,66.10605455,73.17802727,51.90909091,320.81817273,66.39015455,59.31818182,57.64393636,65.69318182,71.77273636,348.45077273,67.98484545,69.00000909,67.64392727,77.23106364,66.59091818,347.01136364,69.82954545,74.68560000,73.30681818,70.98484545,58.20454545,315.24242727,67.12879091,60.62878182,59.57574545,67.34848182,60.56060000,60.56060000,74.89394545,57.29924545,61.09090909,56.30681818,84.84848182,16.61363636,16.09090909,17.00000000,17.20454545,17.93939091,1901.03409091,417.28030000,2.30302727,2.42424545,71.58334545,65.17045455,70.91666364,73.73863636,62.51893636,73.35227273
2018/19,38687,2019-05-12,33,25,1,4,-3,77.75000000,79.33331818,77.01514545,1.58332727,306.98484545,61.25000000,57.76515455,60.96211818,72.20453636,54.80302727,308.36363636,67.45454545,55.84090909,50.09090909,63.28030000,71.69696364,341.22726364,65.93938182,67.31818182,66.13637273,73.37878182,68.45455455,339.68181818,65.75758182,71.06060909,71.76516364,71.21970000,59.87879091,311.00000000,66.41666364,60.20453636,61.89393636,64.66667273,57.81818182,57.81818182,72.38636364,60.05301818,61.75000909,59.84848182,87.70454545,17.27272727,17.59090909,16.27272727,17.61363636,18.95454545,1876.61363636,414.43181818,2.45454545,2.03030000,69.22727273,65.21970000,69.09090000,74.05303636,63.43181818,73.40909091,38687,2019-05-12,33,25,77.97349091,81.37879091,77.24620909,3.40530000,290.54167273,58.74242727,50.64773636,60.48485455,68.57576364,52.09090909,306.02651818,66.88258182,55.77272727,49.33333636,64.90152727,69.13637273,351.83712727,72.14393636,73.12878182,66.93180909,72.37499091,67.25758182,328.09469091,64.25000000,67.46211818,70.57954545,70.40909091,55.39393636,303.97349091,69.73484545,57.19697273,56.51136364,64.34849091,56.18181818,56.18181818,72.97348182,55.50758182,60.32954545,57.41288182,83.04545455,17.20454545,16.45454545,15.45454545,16.56818182,17.36363636,1836.76893636,411.58333636,2.48484545,2.15151818,75.50379091,61.17045455,67.63636364,73.29546364,61.18939091,72.78788182
