id,season,matchId,matchDate,homeTeamId,homeTeamName,awayTeamID,awayTeamName,homeTeamScore,awayTeamScore
0,2020/21,59251,2021-05-12,4,Chelsea,1,Arsenal,0,1
1,2020/21,59249,2021-05-11,12,Man Utd,26,Leicester,1,2
2,2020/21,59214,2021-05-11,20,Southampton,6,Crystal Palace,3,1
3,2020/21,59238,2021-05-10,34,Fulham,43,Burnley,0,2
4,2020/21,59245,2021-05-09,38,Wolves,131,Brighton,2,1
5,2020/21,59237,2021-05-09,2,Aston Villa,12,Man Utd,1,3
6,2020/21,59244,2021-05-09,25,West Ham,7,Everton,0,1
7,2020/21,59236,2021-05-09,1,Arsenal,36,West Brom,3,1
8,2020/21,59239,2021-05-08,9,Leeds,21,Spurs,3,1
9,2020/21,59243,2021-05-08,18,Sheffield Utd,6,Crystal Palace,0,2
10,2020/21,59242,2021-05-08,11,Man City,4,Chelsea,1,2
11,2020/21,59241,2021-05-08,10,Liverpool,20,Southampton,2,0
12,2020/21,59240,2021-05-07,26,Leicester,23,Newcastle,2,4
13,2020/21,59235,2021-05-03,36,West Brom,38,Wolves,1,1
14,2020/21,59227,2021-05-03,43,Burnley,25,West Ham,1,2
15,2020/21,59232,2021-05-02,23,Newcastle,1,Arsenal,0,2
16,2020/21,59234,2021-05-02,21,Spurs,18,Sheffield Utd,4,0
17,2020/21,59229,2021-05-01,6,Crystal Palace,11,Man City,0,2
18,2020/21,59226,2021-05-01,131,Brighton,9,Leeds,2,0
19,2020/21,59228,2021-05-01,4,Chelsea,34,Fulham,2,0
20,2020/21,59230,2021-05-01,7,Everton,2,Aston Villa,1,2
21,2020/21,59233,2021-04-30,20,Southampton,26,Leicester,1,1
22,2020/21,59220,2021-04-26,26,Leicester,6,Crystal Palace,2,1
23,2020/21,59225,2021-04-25,38,Wolves,43,Burnley,0,4
24,2020/21,59219,2021-04-25,9,Leeds,12,Man Utd,0,0
25,2020/21,59217,2021-04-25,2,Aston Villa,36,West Brom,2,2
26,2020/21,59221,2021-04-24,10,Liverpool,23,Newcastle,1,1
27,2020/21,59224,2021-04-24,25,West Ham,4,Chelsea,0,1
28,2020/21,59223,2021-04-24,18,Sheffield Utd,131,Brighton,1,0
29,2020/21,59216,2021-04-23,1,Arsenal,7,Everton,0,1
