id,matchdate,teamId,playerId,firstName,lastName,position,fullPosition
0,2018-05-13,43,6210,Jóhann,Gudmundsson,M,Left Winger
1,2018-05-13,43,3756,Chris,Wood,F,Centre Striker
2,2018-05-13,43,3837,Kevin,Long,D,Centre Central Defender
3,2018-05-13,43,4487,Matthew,Lowton,D,Right Full Back
4,2018-05-13,43,4489,Ashley,Westwood,M,Centre Central Midfielder
5,2018-05-13,43,2270,Aaron,Lennon,M,Right Winger
6,2018-05-13,43,3999,Stephen,Ward,D,Left Full Back
7,2018-05-13,43,2889,Jack,Cork,M,Centre Central Midfielder
8,2018-05-13,43,8586,Jeff,Hendrick,M,Centre Central Midfielder
9,2018-05-13,43,10079,Nick,Pope,G,Goalkeeper
10,2018-05-13,43,8143,James,Tarkowski,D,Centre Central Defender
11,2018-05-13,127,3926,Joshua,King,F,Centre/Right Second Striker
12,2018-05-13,127,2537,Asmir,Begovic,G,Goalkeeper
13,2018-05-13,127,19603,Lys,Mousset,F,Left/Centre/Right Second Striker
14,2018-05-13,127,8900,Tyrone,Mings,D,Left/Centre Full Back
15,2018-05-13,127,3242,Charlie,Daniels,D,Left Full Back
16,2018-05-13,127,4499,Nathan,Aké,D,Left/Centre Central Defender
17,2018-05-13,127,8052,Ryan,Fraser,M,Left/Right Winger
18,2018-05-13,127,2338,Andrew,Surman,M,Centre Central Midfielder
19,2018-05-13,127,8045,Steve,Cook,D,Left/Centre/Right Central Defender
20,2018-05-13,127,4527,Jordon,Ibe,M,Left/Right Winger
21,2018-05-13,127,10734,Emerson,Hyndman,M,Centre Central Midfielder
22,2018-05-13,6,2569,Wayne,Hennessey,G,Goalkeeper
23,2018-05-13,6,4796,Mamadou,Sakho,D,Centre Central Defender
24,2018-05-13,6,3517,James,Tomkins,D,Centre Central Defender
25,2018-05-13,6,5179,Ruben,Loftus-Cheek,M,Centre Central Midfielder
26,2018-05-13,6,4341,Yohan,Cabaye,M,Centre Central Midfielder
27,2018-05-13,6,3724,Andros,Townsend,M,Left/Right Winger
28,2018-05-13,6,4224,James,McArthur,M,Centre Central Midfielder
29,2018-05-13,6,4539,Wilfried,Zaha,F,Left/Centre/Right Winger
30,2018-05-13,6,5859,Luka,Milivojevic,M,Centre Central Midfielder
31,2018-05-13,6,14164,Aaron,Wan-Bissaka,M,Left/Right Winger
32,2018-05-13,6,3362,Patrick,van Aanholt,D,Left Full Back
33,2018-05-13,36,13821,Allan-Roméo,Nyom,D,Right Full Back
34,2018-05-13,36,2932,Ben,Foster,G,Goalkeeper
35,2018-05-13,36,3244,Jake,Livermore,M,Centre Central Midfielder
36,2018-05-13,36,6030,Salomón,Rondón,F,Centre Striker
37,2018-05-13,36,4198,Craig,Dawson,D,Centre Central Defender
